,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date,Country,City
0,48.38,-4.62,48.99,70,7,18.34,1573328974,FR,plouzane
1,-53.16,-70.91,46.4,49,0,12.75,1573328974,CL,punta arenas
2,-23.58,149.07,67.46,18,0,11.16,1573328974,AU,bluff
3,-33.21,138.6,47.52,83,0,2.8,1573328915,AU,jamestown
4,29.96,122.3,61.38,65,0,5.19,1573328974,CN,shenjiamen
5,-33.64,115.35,66.99,63,5,15.82,1573328974,AU,busselton
6,18.42,84.04,71.47,85,33,4.45,1573328974,IN,narasannapeta
7,-54.81,-68.31,44.6,48,20,4.7,1573328974,AR,ushuaia
8,43.21,-79.65,39.99,64,90,16.11,1573328974,CA,winona
9,-33.59,26.89,66.0,79,99,8.99,1573328974,ZA,port alfred
10,-9.8,-139.03,79.77,75,0,12.39,1573328974,PF,atuona
11,50.36,108.75,26.47,95,89,4.05,1573328974,RU,krasnyy chikoy
12,15.34,74.49,66.36,86,0,2.62,1573328974,IN,vaini
13,71.97,114.09,-2.08,97,100,8.12,1573328975,RU,saskylakh
14,59.7,30.79,39.2,93,90,6.71,1573328975,RU,nikolskoye
15,5.36,-74.39,76.87,79,100,2.3,1573328975,CO,la palma
16,-0.92,100.36,67.06,95,81,1.52,1573328975,ID,padang
17,-46.43,-67.52,52.36,45,9,13.42,1573328975,AR,mar del plata
18,32.43,105.86,46.58,80,63,3.65,1573328975,CN,guangyuan
19,-20.34,57.76,73.4,83,40,4.7,1573328975,MU,bambous virieux
20,69.35,88.2,-14.81,83,86,11.18,1573328975,RU,norilsk
21,50.47,14.53,42.8,81,79,9.17,1573328975,CZ,vidim
22,54.43,-124.25,14.81,88,100,9.33,1573328975,CA,fort saint james
23,65.28,-126.83,1.4,77,40,5.82,1573328975,CA,norman wells
24,-42.78,147.06,52.0,71,20,9.17,1573328976,AU,new norfolk
25,39.15,-123.21,77.0,34,1,3.36,1573328976,US,ukiah
26,-28.95,153.24,57.99,87,90,9.17,1573328976,AU,codrington
